District,usaono,defno,branch,progcat,priority,appealtype,collindc,casestat,ausa,littype,defstatus,defstatdt,matterdt,compdt,arrestdt,casedt,courtno,courtappeal,crttype,judge,casetype,caseweight,litresp,ldcharge,offensedt,cntrlsub,mbrseized,qtyseized,defdispdt,defdisp,defdpreas,invagency,invagencyno,dojdiv,dojno,factno,filler9,terrindic,evnt,evntdt,evntact,relusaonbr,realdefnbr,chgtype,totalcounts,errindc,filename,estdollar,errnojc,bondtype,bondamt,errindj,fine,errindj1,suspfine,errindj2,sentdt,susp,incar,incarsusp,sentsec,probation,sysdisdt,syseousadt,acrecvdt,acfiledt,accttermdt,progagcy,progagcyno,lateclosing,dcmns,lionsno,distseq,distname,disthicode,agcy,cca,mrrf,mrmf,mprf,mpmf,mtrf,mtmf,cfrf,cfcf,cprf,cpcf,ctrf,ctcf,irf,irc,ibrf,ibmf,crtrf,ctrcf,citrf,citcf,scrher,par dis,par div,rectype,disname2,nodis,alphadis,ID
AK,93R0207,1,1,38,,,,C,CR,,,,930615,,,,,,NC,,,,US,,910418,,,,960621,DE,STLM,JUFB,************,,,,,,CLOS,960621,CP,,,,,,******* ******** *************,3500000,,,,,,,,,,,,,,,970109,970131,930630,,970131,,,,,,,ALASKA,60,O,1,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,34
AK,93R0208,1,1,37,,,,O,BB,,,,930617,,,961119,******* **,,DC,JKS,,,US,,911001,,,,,,,JUFB,***********,,,,,,TRIA,970502,CN,,,IN,27,,****** ****** *************,,,,,,,,,,,,,,,,970603,970630,930630,961130,,,,,96-466725-8,,,ALASKA,60,O,5,,,,,,,1,1,1,1,,,1,1,,,,,,,0A,6,0,1,,,,35
AK,93R0208,2,1,37,,,,O,BB,,,,930617,,,961119,******* **,,DC,JKS,,,US,,911001,,,,,,,JUFB,***********,,,,,,TRIA,970502,CN,,,IN,27,,****** ****** *************,,,,,,,,,,,,,,,,970603,970630,961130,961130,,,,,96-466725-8,,,ALASKA,60,O,5,1,,,,,,1,,1,,,,1,,,,,,,,0A,6,0,1,,,,36
AK,93R0208,3,1,37,,,,O,BB,,,,930617,,,961119,******* **,,DC,JKS,,,US,,911001,,,,,,,JUFB,***********,,,,,,TRIA,970502,CN,,,IN,27,,****** ****** *************,,,,,,,,,,,,,,,,970603,970630,961130,961130,,,,,96-466725-8,,,ALASKA,60,O,5,1,,,,,,1,,1,,,,1,,,,,,,,0A,6,0,1,,,,37
AK,93R0212,10,1,40,,,,O,SES,,FU,941130,930615,,,940429,*********,,DC,JWS,,,US,,930501,C,,,,,,JUFB,************,,,,,,WARR,941130,FI,,,S1,25,,**** *** **** ******** ****,,,,,,,,,,,,,,,,950531,950531,940630,940630,,,,,94-082661-9,,,ALASKA,60,H,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,38
AK,93R0220,1,1,***,,,,O,SAC,,PD,940325,930623,,,,,,NC,,,,US,,910303,,,,,,,LABO,************,,,,,,PTDR,940408,CM,,,,,,**** *** **** ******* ****,283200,,,,,,,,,,,,,,,950418,950430,930630,,,,,,,,,ALASKA,60,P,4,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,39
AK,93R0233,1,1,54,,,,C,MAR,,,,930721,,,,,,NC,,,,US,,930121,,,,970113,DE,SPOA,TRAT,******* *****,,,,,,CLOS,970113,CP,,,,,,**** *** ******* **** *****,,,,,,,,,,,,,,,,970114,970131,930731,,970131,,,,,,,ALASKA,60,N,3,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,40
AK,93R0284,3,1,40,,,,O,SAC,,FU,940623,930810,,,940125,******* **,,DC,JKS,,,US,,851201,M,,,,,,TRCB,************,,,,,,WARR,940623,FI,,,IN,6,,**** *** ****** ****** ****,,,,,,,,,,,,,,,,950525,950531,940131,940131,,,,,94-035991-9,,,ALASKA,60,H,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,41
AK,93R0288,1,1,***,,,,O,TMB,,,,930430,,,,,,NC,,,,US,,920619,,,,,,,CDOA,********,,,,,,CHPL,960606,CM,,,,,,*** **** *** ********* *******,,,,,,,,,,,,,,,,960627,960630,930831,,,,,,,,,ALASKA,60,B,7,,,1,1,,,,,,,,,,,,,,,,,36,6,0,1,,,,42
AK,93R0314,1,1,36,,,,C,RRR,,,,930826,,,,,,NC,,,,US,,910312,,,,970724,DE,LKIR,JUFB,***********,,,,,,CLOS,970724,CP,,,,,,**** ** ****** *************,17290000,,,,,,,,,,,,,,,970728,970731,930831,,970731,ZFDI,*** *********,,,,,ALASKA,60,O,4,,,,,1,1,,,,,,,,,,,,,,,51,6,0,1,,,,43
